,Date,Open,High,Low,Close,Adj Close,Volume
8790,2015-10-20,111.339996,114.16999799999999,110.82,113.769997,107.45237,48778800.0
8791,2015-10-21,114.0,115.58000200000001,113.699997,113.760002,107.442924,41795200.0
8792,2015-10-22,114.33000200000001,115.5,114.099998,115.5,109.08631100000001,41654100.0
8793,2015-10-23,116.699997,119.230003,116.33000200000001,119.08000200000001,112.467506,59366900.0
8794,2015-10-26,118.08000200000001,118.129997,114.91999799999999,115.279999,108.87851699999999,66333800.0
8795,2015-10-27,115.400002,116.540001,113.989998,114.550003,108.18906399999999,69884400.0
8796,2015-10-28,116.93,119.300003,116.059998,119.269997,112.646927,85551400.0
8797,2015-10-29,118.699997,120.690002,118.269997,120.529999,113.83698999999999,51227300.0
8798,2015-10-30,120.989998,121.220001,119.449997,119.5,112.864182,49365300.0
8799,2015-11-02,120.800003,121.360001,119.610001,121.18,114.450897,32203300.0
8800,2015-11-03,120.790001,123.489998,120.699997,122.57,115.763702,45519000.0
8801,2015-11-04,123.129997,123.82,121.620003,122.0,115.225357,44886100.0
8802,2015-11-05,121.849998,122.690002,120.18,120.91999799999999,114.694176,39552700.0
8803,2015-11-06,121.110001,121.809998,120.620003,121.059998,114.826981,33042300.0
8804,2015-11-09,120.959999,121.809998,120.050003,120.57,114.36221299999998,33871400.0
8805,2015-11-10,116.900002,118.07,116.059998,116.769997,110.75785800000001,59127900.0
8806,2015-11-11,116.370003,117.41999799999999,115.209999,116.110001,110.131828,45218000.0
8807,2015-11-12,116.260002,116.82,115.650002,115.720001,109.761932,32525600.0
8808,2015-11-13,115.199997,115.57,112.269997,112.339996,106.555931,45812400.0
8809,2015-11-16,111.379997,114.239998,111.0,114.18,108.301201,38106700.0
8810,2015-11-17,114.91999799999999,115.050003,113.32,113.690002,107.836441,27616900.0
8811,2015-11-18,115.760002,117.489998,115.5,117.290001,111.251076,46674700.0
8812,2015-11-19,117.639999,119.75,116.760002,118.779999,112.66436000000002,43295800.0
8813,2015-11-20,119.199997,119.91999799999999,118.849998,119.300003,113.15759299999999,34287100.0
8814,2015-11-23,119.269997,119.730003,117.339996,117.75,111.687393,32482500.0
8815,2015-11-24,117.33000200000001,119.349998,117.120003,118.879997,112.759216,42803200.0
8816,2015-11-25,119.209999,119.230003,117.91999799999999,118.029999,111.952995,21388300.0
8817,2015-11-27,118.290001,118.410004,117.599998,117.809998,111.744308,13046400.0
8818,2015-11-30,117.989998,119.410004,117.75,118.300003,112.209084,39180300.0
8819,2015-12-01,118.75,118.809998,116.860001,117.339996,111.2985,34852400.0
8820,2015-12-02,117.339996,118.110001,116.08000200000001,116.279999,110.29308300000001,33386600.0
8821,2015-12-03,116.550003,116.790001,114.220001,115.199997,109.26869199999999,41569500.0
8822,2015-12-04,115.290001,119.25,115.110001,119.029999,112.90148899999998,57777000.0
8823,2015-12-07,118.980003,119.860001,117.809998,118.279999,112.190102,32084200.0
8824,2015-12-08,117.519997,118.599998,116.860001,118.230003,112.14268500000001,34309500.0
8825,2015-12-09,117.639999,117.690002,115.08000200000001,115.620003,109.667061,46361400.0
8826,2015-12-10,116.040001,116.940002,115.510002,116.16999799999999,110.188744,29104200.0
8827,2015-12-11,115.190002,115.389999,112.849998,113.18,107.35270700000001,46886200.0
8828,2015-12-14,112.18,112.68,109.790001,112.480003,106.688728,64318700.0
8829,2015-12-15,111.940002,112.800003,110.349998,110.489998,104.80119300000001,53323100.0
8830,2015-12-16,111.07,111.989998,108.800003,111.339996,105.607422,56238500.0
8831,2015-12-17,112.019997,112.25,108.980003,108.980003,103.368935,44772800.0
8832,2015-12-18,108.910004,109.519997,105.809998,106.029999,100.570824,96453300.0
8833,2015-12-21,107.279999,107.370003,105.57,107.33000200000001,101.803886,47590600.0
8834,2015-12-22,107.400002,107.720001,106.449997,107.230003,101.709038,32789400.0
8835,2015-12-23,107.269997,108.849998,107.199997,108.610001,103.018005,32657400.0
8836,2015-12-24,109.0,109.0,107.949997,108.029999,102.46785,13570400.0
